vessel_id,vessel_name,carrier,vessel_class,cargo_volume_teu,length_m,draft_m,berth_id,cranes_allocated,carrier_reported_eta,actual_arrival_time,departure_time,arrival_speed_knots,wind_speed_knots,tidal_restriction_flag,scheduled_dwell_hours,actual_dwell_hours,delay_minutes,delay_cause,shift_id,eta_bias_hours
IMO9300856,COSCO Handymax 0856,COSCO,Handymax,2016,205.2,10.7,B-07,3,2025-11-18T23:30:56.474674+00:00,2025-11-19T03:20:44.474674+00:00,2025-11-20T05:44:44.474674+00:00,14.0,12.0,0,23.0,26.4,201,YARD_CONGESTION,SHIFT_C (22:00-06:00),3.83
IMO9300857,Evergreen Feeder 0857,Evergreen,Feeder,2062,175.1,8.1,B-09,2,2025-07-18T02:32:10.036754+00:00,2025-07-18T03:28:34.036754+00:00,2025-07-18T21:58:34.036754+00:00,11.8,14.7,0,18.6,18.5,0,NONE,SHIFT_C (22:00-06:00),0.94
IMO9300858,MSC Panamax 0858,MSC,Panamax,5076,288.0,11.8,B-04,3,2025-11-19T06:47:56.203349+00:00,2025-11-19T11:50:20.203349+00:00,2025-11-20T18:44:20.203349+00:00,16.2,21.6,0,31.0,30.9,0,NONE,SHIFT_A (06:00-14:00),5.04
IMO9300859,ONE Neo-Panamax 0859,ONE,Neo-Panamax,11143,364.7,14.6,B-01,4,2025-05-28T20:40:58.391616+00:00,2025-05-28T22:13:22.391616+00:00,2025-05-31T05:07:22.391616+00:00,13.9,6.2,0,55.1,54.9,0,NONE,SHIFT_C (22:00-06:00),1.54
IMO9300860,ONE Post-Panamax 0860,ONE,Post-Panamax,7158,344.1,13.1,B-02,4,2026-04-01T05:58:00.582999+00:00,2026-04-01T08:14:12.582999+00:00,2026-04-03T12:44:12.582999+00:00,15.6,9.2,0,48.3,52.5,251,CRANE_OUTAGE,SHIFT_A (06:00-14:00),2.27
IMO9300861,Evergreen Feeder 0861,Evergreen,Feeder,2206,150.7,8.2,B-09,2,2025-05-03T09:51:22.455487+00:00,2025-05-03T12:58:34.455487+00:00,2025-05-04T05:40:34.455487+00:00,13.1,23.4,0,17.5,16.7,0,NONE,SHIFT_A (06:00-14:00),3.12
IMO9300862,Hapag-Lloyd Post-Panamax 0862,Hapag-Lloyd,Post-Panamax,8819,320.0,13.2,B-04,3,2025-07-15T16:26:40.062516+00:00,2025-07-15T16:26:40.062516+00:00,2025-07-17T21:20:40.062516+00:00,13.0,15.9,0,52.0,52.9,51,PILOT_UNAVAILABLE,SHIFT_B (14:00-22:00),0.0
IMO9300863,Evergreen Feeder 0863,Evergreen,Feeder,1496,176.1,7.9,B-10,2,2025-02-02T20:42:31.323112+00:00,2025-02-02T20:46:07.323112+00:00,2025-02-03T13:58:07.323112+00:00,12.6,27.1,0,17.8,17.2,0,NONE,SHIFT_B (14:00-22:00),0.06
IMO9300864,Wan Hai Panamax 0864,Wan Hai,Panamax,3617,246.9,10.4,B-06,3,2026-02-06T08:26:49.194297+00:00,2026-02-06T09:31:01.194297+00:00,2026-02-07T19:19:01.194297+00:00,13.1,19.0,0,32.3,33.8,90,PILOT_UNAVAILABLE,SHIFT_A (06:00-14:00),1.07
IMO9300865,COSCO Feeder 0865,COSCO,Feeder,2205,157.9,7.2,B-10,2,2026-07-07T05:19:18.222318+00:00,2026-07-07T09:10:54.222318+00:00,2026-07-08T02:16:54.222318+00:00,12.0,2.4,0,17.3,17.1,0,NONE,SHIFT_A (06:00-14:00),3.86
IMO9300866,X-Press Feeders Panamax 0866,X-Press Feeders,Panamax,4740,249.6,10.1,B-06,3,2025-04-02T06:24:22.846579+00:00,2025-04-02T08:34:34.846579+00:00,2025-04-03T09:46:34.846579+00:00,15.9,7.0,0,24.8,25.2,0,NONE,SHIFT_A (06:00-14:00),2.17
IMO9300867,PIL Post-Panamax 0867,PIL,Post-Panamax,9973,305.6,12.9,B-05,3,2025-03-20T15:25:33.395117+00:00,2025-03-20T17:40:33.395117+00:00,2025-03-22T22:46:33.395117+00:00,14.0,1.9,0,53.2,53.1,0,NONE,SHIFT_B (14:00-22:00),2.25
IMO9300868,SITC Panamax 0868,SITC,Panamax,3163,250.4,10.9,B-04,3,2025-01-01T17:32:39.932628+00:00,2025-01-01T18:15:51.932628+00:00,2025-01-03T03:33:51.932628+00:00,16.8,14.4,0,33.5,33.3,0,NONE,SHIFT_B (14:00-22:00),0.72
IMO9300869,Maersk Post-Panamax 0869,Maersk,Post-Panamax,9423,327.1,12.9,B-04,3,2026-09-05T13:52:01.062948+00:00,2026-09-05T14:24:25.062948+00:00,2026-09-07T15:12:25.062948+00:00,16.8,17.2,0,45.7,48.8,187,CRANE_OUTAGE,SHIFT_B (14:00-22:00),0.54
IMO9300870,COSCO Feeder 0870,COSCO,Feeder,1810,137.6,7.4,B-09,2,2024-12-14T20:57:12.016143+00:00,2024-12-14T23:22:24.016143+00:00,2024-12-15T23:22:24.016143+00:00,12.1,12.2,0,19.3,24.0,279,YARD_CONGESTION,SHIFT_C (22:00-06:00),2.42
IMO9300871,Wan Hai Feeder 0871,Wan Hai,Feeder,2282,152.4,7.4,B-10,2,2025-02-10T14:32:28.026296+00:00,2025-02-10T17:09:04.026296+00:00,2025-02-11T09:39:04.026296+00:00,15.8,20.2,0,16.8,16.5,0,NONE,SHIFT_B (14:00-22:00),2.61
IMO9300872,HMM Feeder 0872,HMM,Feeder,962,173.3,8.9,B-09,2,2024-10-23T18:00:04.264415+00:00,2024-10-23T20:37:16.264415+00:00,2024-10-24T11:55:16.264415+00:00,9.2,22.1,0,15.3,15.3,0,NONE,SHIFT_B (14:00-22:00),2.62
IMO9300873,MSC Post-Panamax 0873,MSC,Post-Panamax,10079,318.7,13.4,B-03,4,2025-03-29T19:26:14.473752+00:00,2025-03-29T22:04:38.473752+00:00,2025-03-31T16:04:38.473752+00:00,13.1,18.9,0,38.7,42.0,199,CRANE_OUTAGE,SHIFT_C (22:00-06:00),2.64
IMO9300874,ONE Feeder 0874,ONE,Feeder,1065,131.1,8.0,B-09,2,2026-03-10T00:54:32.038630+00:00,2026-03-10T00:54:32.038630+00:00,2026-03-10T18:06:32.038630+00:00,16.1,17.3,0,18.2,17.2,0,NONE,SHIFT_C (22:00-06:00),0.0
IMO9300875,CMA CGM Handymax 0875,CMA CGM,Handymax,3247,204.5,10.3,B-09,2,2025-07-22T04:16:59.308883+00:00,2025-07-22T05:16:59.308883+00:00,2025-07-23T05:16:59.308883+00:00,13.3,13.0,0,24.4,24.0,0,NONE,SHIFT_C (22:00-06:00),1.0
IMO9300876,SITC Panamax 0876,SITC,Panamax,5180,279.8,11.0,B-05,3,2025-05-21T23:15:48.683804+00:00,2025-05-22T00:21:12.683804+00:00,2025-05-23T12:33:12.683804+00:00,17.9,10.3,0,33.4,36.2,169,PILOT_UNAVAILABLE,SHIFT_C (22:00-06:00),1.09
IMO9300877,PIL Panamax 0877,PIL,Panamax,5169,225.8,11.5,B-06,3,2026-02-11T10:20:51.893917+00:00,2026-02-11T12:15:27.893917+00:00,2026-02-12T22:51:27.893917+00:00,12.5,14.6,0,34.6,34.6,0,NONE,SHIFT_A (06:00-14:00),1.91
IMO9300878,Maersk Panamax 0878,Maersk,Panamax,5010,272.6,10.6,B-05,3,2025-12-22T03:58:30.077775+00:00,2025-12-22T06:26:06.077775+00:00,2025-12-23T20:02:06.077775+00:00,11.3,16.0,0,37.9,37.6,0,NONE,SHIFT_A (06:00-14:00),2.46
IMO9300879,COSCO Feeder 0879,COSCO,Feeder,1125,164.2,7.4,B-10,2,2024-10-13T20:48:00.516445+00:00,2024-10-13T21:34:12.516445+00:00,2024-10-15T00:28:12.516445+00:00,14.0,9.5,0,20.0,26.9,412,WEATHER,SHIFT_B (14:00-22:00),0.77
IMO9300880,Wan Hai Feeder 0880,Wan Hai,Feeder,1261,160.1,8.3,B-09,2,2025-09-27T03:36:17.965587+00:00,2025-09-27T04:38:05.965587+00:00,2025-09-27T23:14:05.965587+00:00,15.4,14.5,0,16.3,18.6,135,YARD_CONGESTION,SHIFT_C (22:00-06:00),1.03
IMO9300881,Maersk Panamax 0881,Maersk,Panamax,4900,257.3,10.7,B-05,3,2025-05-14T12:15:59.228765+00:00,2025-05-14T14:41:47.228765+00:00,2025-05-15T20:05:47.228765+00:00,15.9,13.6,0,30.0,29.4,0,NONE,SHIFT_B (14:00-22:00),2.43
IMO9300882,CMA CGM Panamax 0882,CMA CGM,Panamax,3093,262.0,11.5,B-06,3,2025-07-06T10:08:33.203020+00:00,2025-07-06T12:22:21.203020+00:00,2025-07-07T17:22:21.203020+00:00,12.6,8.3,0,28.2,29.0,50,PILOT_UNAVAILABLE,SHIFT_A (06:00-14:00),2.23
IMO9300883,X-Press Feeders Post-Panamax 0883,X-Press Feeders,Post-Panamax,7822,327.6,14.2,B-04,3,2025-12-26T15:22:56.027661+00:00,2025-12-26T16:52:20.027661+00:00,2025-12-28T19:28:20.027661+00:00,13.7,28.6,1,50.0,50.6,0,NONE,SHIFT_B (14:00-22:00),1.49
IMO9300884,SITC Feeder 0884,SITC,Feeder,1708,157.6,8.7,B-08,2,2025-02-21T22:02:40.252252+00:00,2025-02-22T00:39:52.252252+00:00,2025-02-22T21:15:52.252252+00:00,10.1,32.2,1,18.5,20.6,126,YARD_CONGESTION,SHIFT_C (22:00-06:00),2.62
IMO9300885,CMA CGM Feeder 0885,CMA CGM,Feeder,2186,130.4,7.1,B-09,2,2025-01-02T07:56:45.554008+00:00,2025-01-02T12:26:09.554008+00:00,2025-01-03T07:26:09.554008+00:00,14.4,5.5,0,17.0,19.0,121,CRANE_OUTAGE,SHIFT_A (06:00-14:00),4.49
IMO9300886,Maersk Post-Panamax 0886,Maersk,Post-Panamax,6989,321.9,14.2,B-03,4,2025-02-11T04:35:55.385501+00:00,2025-02-11T06:16:07.385501+00:00,2025-02-13T04:10:07.385501+00:00,14.4,23.3,0,45.2,45.9,0,NONE,SHIFT_A (06:00-14:00),1.67
IMO9300887,SITC Panamax 0887,SITC,Panamax,3597,250.0,10.2,B-06,3,2025-03-21T20:16:10.820974+00:00,2025-03-21T20:16:10.820974+00:00,2025-03-23T00:16:10.820974+00:00,13.0,20.1,0,28.6,28.0,0,NONE,SHIFT_B (14:00-22:00),0.0
IMO9300888,HMM Panamax 0888,HMM,Panamax,3303,226.8,11.3,B-07,3,2024-12-10T05:04:49.076334+00:00,2024-12-10T07:34:13.076334+00:00,2024-12-11T18:04:13.076334+00:00,14.5,15.1,0,34.7,34.5,0,NONE,SHIFT_A (06:00-14:00),2.49
IMO9300889,HMM Post-Panamax 0889,HMM,Post-Panamax,7647,328.4,13.7,B-02,4,2025-09-07T18:18:00.340005+00:00,2025-09-07T21:46:48.340005+00:00,2025-09-10T01:10:48.340005+00:00,15.1,16.5,0,45.6,51.4,350,CRANE_OUTAGE,SHIFT_B (14:00-22:00),3.48
IMO9300890,OOCL Panamax 0890,OOCL,Panamax,3632,269.9,11.3,B-05,3,2026-06-04T18:10:17.573634+00:00,2026-06-04T18:38:29.573634+00:00,2026-06-06T05:20:29.573634+00:00,12.6,11.1,0,35.3,34.7,0,NONE,SHIFT_B (14:00-22:00),0.47
IMO9300891,Maersk Handymax 0891,Maersk,Handymax,3058,190.4,10.3,B-09,2,2025-10-09T23:59:31.594971+00:00,2025-10-10T03:37:19.594971+00:00,2025-10-11T00:31:19.594971+00:00,11.7,18.3,0,21.2,20.9,0,NONE,SHIFT_C (22:00-06:00),3.63
IMO9300892,Evergreen Neo-Panamax 0892,Evergreen,Neo-Panamax,13964,362.6,14.5,B-02,4,2026-09-07T22:36:59.293413+00:00,2026-09-07T23:28:35.293413+00:00,2026-09-10T06:46:35.293413+00:00,13.7,29.4,1,55.8,55.3,0,NONE,SHIFT_C (22:00-06:00),0.86
IMO9300893,COSCO Post-Panamax 0893,COSCO,Post-Panamax,10262,332.5,13.2,B-05,3,2024-11-30T11:50:17.044599+00:00,2024-11-30T16:19:41.044599+00:00,2024-12-02T15:19:41.044599+00:00,12.6,23.9,0,47.6,47.0,0,NONE,SHIFT_B (14:00-22:00),4.49
IMO9300894,X-Press Feeders Post-Panamax 0894,X-Press Feeders,Post-Panamax,10656,331.3,14.4,B-01,4,2026-03-06T20:34:46.146030+00:00,2026-03-06T23:35:58.146030+00:00,2026-03-08T17:23:58.146030+00:00,13.6,30.8,1,41.9,41.8,0,NONE,SHIFT_C (22:00-06:00),3.02
IMO9300895,Evergreen Feeder 0895,Evergreen,Feeder,1301,171.4,8.6,B-08,2,2025-05-09T23:43:31.595561+00:00,2025-05-10T00:59:43.595561+00:00,2025-05-10T19:05:43.595561+00:00,14.6,17.5,0,17.6,18.1,0,NONE,SHIFT_C (22:00-06:00),1.27
IMO9300896,Hapag-Lloyd Feeder 0896,Hapag-Lloyd,Feeder,1266,161.4,7.2,B-08,2,2025-07-23T18:54:27.887019+00:00,2025-07-23T19:44:15.887019+00:00,2025-07-24T19:02:15.887019+00:00,12.3,16.9,0,19.1,23.3,253,WEATHER,SHIFT_B (14:00-22:00),0.83
IMO9300897,CMA CGM Post-Panamax 0897,CMA CGM,Post-Panamax,7183,309.8,12.7,B-04,3,2026-04-29T03:44:47.866617+00:00,2026-04-29T04:38:11.866617+00:00,2026-05-01T00:14:11.866617+00:00,14.2,15.0,0,41.1,43.6,147,WEATHER,SHIFT_C (22:00-06:00),0.89
IMO9300898,SITC Post-Panamax 0898,SITC,Post-Panamax,10237,338.9,12.9,B-01,4,2026-03-21T01:12:15.511000+00:00,2026-03-21T01:53:03.511000+00:00,2026-03-23T06:35:03.511000+00:00,14.2,13.4,0,52.8,52.7,0,NONE,SHIFT_C (22:00-06:00),0.68
IMO9300899,ZIM Handymax 0899,ZIM,Handymax,2698,190.6,9.8,B-08,2,2025-05-18T11:23:58.952442+00:00,2025-05-18T11:29:22.952442+00:00,2025-05-19T12:11:22.952442+00:00,14.5,6.8,0,24.1,24.7,0,NONE,SHIFT_A (06:00-14:00),0.09
IMO9300900,OOCL Panamax 0900,OOCL,Panamax,4769,231.4,10.1,B-06,3,2026-07-12T03:23:06.428082+00:00,2026-07-12T04:03:18.428082+00:00,2026-07-13T19:39:18.428082+00:00,13.0,24.6,0,36.5,39.6,189,WEATHER,SHIFT_C (22:00-06:00),0.67
IMO9300901,Yang Ming Post-Panamax 0901,Yang Ming,Post-Panamax,9121,310.7,13.5,B-05,3,2025-10-13T16:02:11.068884+00:00,2025-10-13T16:35:47.068884+00:00,2025-10-15T12:53:47.068884+00:00,10.7,9.3,0,44.6,44.3,0,NONE,SHIFT_B (14:00-22:00),0.56
IMO9300902,Evergreen Feeder 0902,Evergreen,Feeder,1857,166.6,7.4,B-09,2,2025-06-04T23:54:31.462679+00:00,2025-06-05T00:34:07.462679+00:00,2025-06-05T22:04:07.462679+00:00,14.8,22.0,0,16.7,21.5,286,YARD_CONGESTION,SHIFT_C (22:00-06:00),0.66
IMO9300903,ZIM ULCV 0903,ZIM,ULCV,19798,378.6,15.1,B-03,4,2026-02-03T06:58:44.541891+00:00,2026-02-03T08:23:20.541891+00:00,2026-02-06T02:35:20.541891+00:00,16.7,21.2,1,66.0,66.2,0,NONE,SHIFT_A (06:00-14:00),1.41
IMO9300904,SITC Feeder 0904,SITC,Feeder,2242,176.0,7.0,B-08,2,2026-04-21T02:07:26.387144+00:00,2026-04-21T03:09:50.387144+00:00,2026-04-22T00:09:50.387144+00:00,14.0,20.0,0,20.6,21.0,0,NONE,SHIFT_C (22:00-06:00),1.04
IMO9300905,ONE Handymax 0905,ONE,Handymax,2901,211.9,10.0,B-08,2,2026-07-03T07:33:55.707757+00:00,2026-07-03T09:03:19.707757+00:00,2026-07-04T09:21:19.707757+00:00,16.1,14.8,0,23.4,24.3,56,PILOT_UNAVAILABLE,SHIFT_A (06:00-14:00),1.49
IMO9300906,X-Press Feeders Post-Panamax 0906,X-Press Feeders,Post-Panamax,10489,334.4,14.3,B-02,4,2026-02-28T14:52:56.276020+00:00,2026-02-28T14:58:56.276020+00:00,2026-03-02T14:28:56.276020+00:00,13.9,17.4,0,48.0,47.5,0,NONE,SHIFT_B (14:00-22:00),0.1
IMO9300907,ZIM Handymax 0907,ZIM,Handymax,2151,184.4,8.8,B-08,2,2024-10-15T02:27:43.695729+00:00,2024-10-15T04:13:19.695729+00:00,2024-10-16T01:01:19.695729+00:00,11.2,25.1,0,21.0,20.8,0,NONE,SHIFT_C (22:00-06:00),1.76
IMO9300908,HMM Handymax 0908,HMM,Handymax,3412,202.3,10.5,B-06,3,2026-06-09T02:47:27.521139+00:00,2026-06-09T03:24:39.521139+00:00,2026-06-10T04:24:39.521139+00:00,16.4,21.4,0,20.9,25.0,244,CRANE_OUTAGE,SHIFT_C (22:00-06:00),0.62
IMO9300909,SITC Neo-Panamax 0909,SITC,Neo-Panamax,12631,359.4,13.9,B-02,4,2026-04-07T08:46:02.301873+00:00,2026-04-07T12:03:26.301873+00:00,2026-04-09T18:27:26.301873+00:00,12.8,32.0,1,54.6,54.4,0,NONE,SHIFT_A (06:00-14:00),3.29
IMO9300910,MSC Post-Panamax 0910,MSC,Post-Panamax,10696,341.6,12.6,B-03,4,2026-09-06T12:37:17.093172+00:00,2026-09-06T14:39:05.093172+00:00,2026-09-08T22:27:05.093172+00:00,16.6,14.0,0,47.6,55.8,494,WEATHER,SHIFT_B (14:00-22:00),2.03
IMO9300911,ZIM Panamax 0911,ZIM,Panamax,3309,260.2,11.3,B-04,3,2024-10-17T05:25:25.777247+00:00,2024-10-17T07:48:13.777247+00:00,2024-10-18T19:06:13.777247+00:00,12.3,22.3,0,32.9,35.3,142,YARD_CONGESTION,SHIFT_A (06:00-14:00),2.38
IMO9300912,KMTC Post-Panamax 0912,KMTC,Post-Panamax,7746,340.9,13.4,B-03,4,2026-07-27T15:22:32.335834+00:00,2026-07-27T16:25:32.335834+00:00,2026-07-30T00:19:32.335834+00:00,13.3,18.4,0,51.2,55.9,281,CRANE_OUTAGE,SHIFT_B (14:00-22:00),1.05
IMO9300913,X-Press Feeders Neo-Panamax 0913,X-Press Feeders,Neo-Panamax,13194,354.9,13.5,B-01,4,2026-09-12T00:57:08.600033+00:00,2026-09-12T01:49:20.600033+00:00,2026-09-13T22:19:20.600033+00:00,15.4,24.3,0,44.3,44.5,0,NONE,SHIFT_C (22:00-06:00),0.87
IMO9300914,PIL Feeder 0914,PIL,Feeder,1981,183.6,8.8,B-08,2,2026-05-05T07:22:06.391070+00:00,2026-05-05T08:11:18.391070+00:00,2026-05-06T04:23:18.391070+00:00,14.2,7.8,0,19.5,20.2,0,NONE,SHIFT_A (06:00-14:00),0.82
IMO9300915,Hapag-Lloyd Feeder 0915,Hapag-Lloyd,Feeder,1470,162.4,9.4,B-09,2,2024-11-19T03:38:33.512937+00:00,2024-11-19T04:16:57.512937+00:00,2024-11-20T04:10:57.512937+00:00,13.5,8.2,0,20.1,23.9,226,YARD_CONGESTION,SHIFT_C (22:00-06:00),0.64
IMO9300916,SITC Feeder 0916,SITC,Feeder,852,137.4,9.4,B-09,2,2025-01-01T23:49:43.516385+00:00,2025-01-02T00:56:55.516385+00:00,2025-01-02T19:32:55.516385+00:00,14.6,24.2,0,19.2,18.6,0,NONE,SHIFT_C (22:00-06:00),1.12
IMO9300917,COSCO Post-Panamax 0917,COSCO,Post-Panamax,10731,304.6,12.9,B-01,4,2026-05-23T23:43:16.845628+00:00,2026-05-24T02:42:40.845628+00:00,2026-05-25T15:18:40.845628+00:00,18.6,20.6,0,37.2,36.6,0,NONE,SHIFT_C (22:00-06:00),2.99
IMO9300918,PIL Feeder 0918,PIL,Feeder,1735,158.7,8.3,B-08,2,2026-09-12T23:05:43.195858+00:00,2026-09-13T04:10:31.195858+00:00,2026-09-14T01:58:31.195858+00:00,11.6,22.5,0,21.1,21.8,0,NONE,SHIFT_C (22:00-06:00),5.08
IMO9300919,KMTC Neo-Panamax 0919,KMTC,Neo-Panamax,11878,364.6,14.8,B-03,4,2026-07-19T10:04:36.918867+00:00,2026-07-19T10:51:24.918867+00:00,2026-07-21T12:57:24.918867+00:00,13.1,14.7,0,50.8,50.1,0,NONE,SHIFT_A (06:00-14:00),0.78
IMO9300920,Maersk Feeder 0920,Maersk,Feeder,2223,137.7,7.4,B-09,2,2025-03-18T17:11:54.613922+00:00,2025-03-18T20:01:06.613922+00:00,2025-03-19T14:25:06.613922+00:00,15.7,5.1,0,14.2,18.4,250,CRANE_OUTAGE,SHIFT_B (14:00-22:00),2.82
IMO9300921,Evergreen Panamax 0921,Evergreen,Panamax,5124,249.3,10.3,B-05,3,2025-04-02T08:06:16.065078+00:00,2025-04-02T09:59:04.065078+00:00,2025-04-03T19:11:04.065078+00:00,13.4,25.3,0,33.6,33.2,0,NONE,SHIFT_A (06:00-14:00),1.88
IMO9300922,HMM Panamax 0922,HMM,Panamax,3105,263.5,10.1,B-06,3,2026-08-28T16:18:02.269063+00:00,2026-08-28T18:03:02.269063+00:00,2026-08-30T00:09:02.269063+00:00,14.4,14.7,0,30.1,30.1,0,NONE,SHIFT_B (14:00-22:00),1.75
IMO9300923,Evergreen Post-Panamax 0923,Evergreen,Post-Panamax,8324,307.9,12.5,B-01,4,2025-11-20T01:50:50.593451+00:00,2025-11-20T06:20:14.593451+00:00,2025-11-21T21:02:14.593451+00:00,16.4,14.5,0,38.2,38.7,0,NONE,SHIFT_A (06:00-14:00),4.49
IMO9300924,Maersk Post-Panamax 0924,Maersk,Post-Panamax,8604,315.6,13.4,B-02,4,2026-01-28T20:57:15.309069+00:00,2026-01-28T23:24:15.309069+00:00,2026-01-30T20:00:15.309069+00:00,17.1,16.0,0,44.7,44.6,0,NONE,SHIFT_C (22:00-06:00),2.45
IMO9300925,ONE Neo-Panamax 0925,ONE,Neo-Panamax,11168,343.3,14.5,B-01,4,2025-05-31T21:08:52.305732+00:00,2025-05-31T22:31:04.305732+00:00,2025-06-02T23:49:04.305732+00:00,11.6,10.9,0,49.0,49.3,0,NONE,SHIFT_C (22:00-06:00),1.37
IMO9300926,SITC Handymax 0926,SITC,Handymax,3182,206.7,9.8,B-08,2,2025-03-20T10:32:30.993085+00:00,2025-03-20T11:15:42.993085+00:00,2025-03-21T13:51:42.993085+00:00,12.2,7.4,0,25.9,26.6,0,NONE,SHIFT_A (06:00-14:00),0.72
IMO9300927,X-Press Feeders Feeder 0927,X-Press Feeders,Feeder,1173,167.9,9.0,B-08,2,2026-06-07T07:50:49.975076+00:00,2026-06-07T10:31:01.975076+00:00,2026-06-08T03:19:01.975076+00:00,15.2,8.2,0,17.2,16.8,0,NONE,SHIFT_A (06:00-14:00),2.67
IMO9300928,X-Press Feeders Panamax 0928,X-Press Feeders,Panamax,4076,251.6,10.4,B-07,3,2026-06-25T09:53:03.202726+00:00,2026-06-25T12:02:03.202726+00:00,2026-06-26T12:44:03.202726+00:00,15.0,10.8,0,24.1,24.7,0,NONE,SHIFT_A (06:00-14:00),2.15
IMO9300929,OOCL Handymax 0929,OOCL,Handymax,2197,210.9,9.6,B-08,2,2025-03-18T00:15:00.890922+00:00,2025-03-18T01:24:36.890922+00:00,2025-03-19T05:36:36.890922+00:00,17.6,13.8,0,27.4,28.2,0,NONE,SHIFT_C (22:00-06:00),1.16
IMO9300930,COSCO Neo-Panamax 0930,COSCO,Neo-Panamax,12847,354.3,14.1,B-02,4,2025-10-27T13:29:43.998790+00:00,2025-10-27T15:53:43.998790+00:00,2025-10-29T16:17:43.998790+00:00,18.9,16.3,0,46.9,48.4,91,PILOT_UNAVAILABLE,SHIFT_B (14:00-22:00),2.4
IMO9300931,ONE Handymax 0931,ONE,Handymax,2034,185.7,10.2,B-07,3,2025-04-08T11:49:15.356750+00:00,2025-04-08T12:19:15.356750+00:00,2025-04-09T19:01:15.356750+00:00,16.4,7.9,0,26.1,30.7,275,WEATHER,SHIFT_A (06:00-14:00),0.5
IMO9300932,Evergreen Panamax 0932,Evergreen,Panamax,3678,246.2,10.2,B-05,3,2025-01-19T11:20:14.856923+00:00,2025-01-19T11:48:26.856923+00:00,2025-01-21T03:06:26.856923+00:00,17.0,20.9,0,38.8,39.3,0,NONE,SHIFT_A (06:00-14:00),0.47
IMO9300933,X-Press Feeders Handymax 0933,X-Press Feeders,Handymax,2862,191.9,10.8,B-09,2,2025-10-16T10:53:21.558076+00:00,2025-10-16T13:22:45.558076+00:00,2025-10-17T14:04:45.558076+00:00,17.7,0.5,0,24.0,24.7,0,NONE,SHIFT_A (06:00-14:00),2.49
IMO9300934,CMA CGM Panamax 0934,CMA CGM,Panamax,3588,224.1,10.8,B-07,3,2025-02-03T10:28:09.865818+00:00,2025-02-03T13:59:21.865818+00:00,2025-02-04T14:23:21.865818+00:00,16.0,21.3,0,24.0,24.4,0,NONE,SHIFT_A (06:00-14:00),3.52
IMO9300935,X-Press Feeders Panamax 0935,X-Press Feeders,Panamax,4435,261.4,10.5,B-04,3,2026-04-08T08:32:56.517787+00:00,2026-04-08T10:07:08.517787+00:00,2026-04-09T20:07:08.517787+00:00,14.2,13.3,0,31.3,34.0,165,CRANE_OUTAGE,SHIFT_A (06:00-14:00),1.57
IMO9300936,HMM Panamax 0936,HMM,Panamax,3480,273.2,10.0,B-06,3,2025-09-05T23:47:31.552304+00:00,2025-09-05T23:47:31.552304+00:00,2025-09-07T06:47:31.552304+00:00,13.4,21.5,0,30.5,31.0,0,NONE,SHIFT_C (22:00-06:00),0.0
IMO9300937,SITC Panamax 0937,SITC,Panamax,4398,230.8,11.8,B-06,3,2024-11-04T00:37:39.761611+00:00,2024-11-04T03:20:51.761611+00:00,2024-11-05T09:02:51.761611+00:00,15.4,10.3,0,29.4,29.7,0,NONE,SHIFT_C (22:00-06:00),2.72
IMO9300938,OOCL Neo-Panamax 0938,OOCL,Neo-Panamax,10844,359.7,13.9,B-01,4,2024-09-30T09:44:11.381510+00:00,2024-09-30T10:17:11.381510+00:00,2024-10-02T18:35:11.381510+00:00,13.1,17.4,0,49.1,56.3,430,WEATHER,SHIFT_A (06:00-14:00),0.55
IMO9300939,KMTC Panamax 0939,KMTC,Panamax,4147,249.5,11.3,B-06,3,2024-12-06T05:29:01.871742+00:00,2024-12-06T06:18:49.871742+00:00,2024-12-07T14:36:49.871742+00:00,13.3,18.8,0,32.0,32.3,0,NONE,SHIFT_A (06:00-14:00),0.83
IMO9300940,OOCL Panamax 0940,OOCL,Panamax,4088,235.5,10.9,B-04,3,2024-09-30T14:57:52.948222+00:00,2024-09-30T17:12:16.948222+00:00,2024-10-02T01:42:16.948222+00:00,12.0,23.2,0,32.4,32.5,0,NONE,SHIFT_B (14:00-22:00),2.24
IMO9300941,X-Press Feeders Neo-Panamax 0941,X-Press Feeders,Neo-Panamax,10807,341.1,13.7,B-03,4,2026-07-11T21:25:02.946929+00:00,2026-07-11T23:10:02.946929+00:00,2026-07-14T08:58:02.946929+00:00,14.2,16.9,0,50.2,57.8,457,WEATHER,SHIFT_C (22:00-06:00),1.75
IMO9300942,PIL Post-Panamax 0942,PIL,Post-Panamax,10274,332.4,13.4,B-05,3,2025-01-04T22:59:57.062021+00:00,2025-01-04T23:14:57.062021+00:00,2025-01-07T07:14:57.062021+00:00,11.9,4.1,0,51.3,56.0,281,CRANE_OUTAGE,SHIFT_C (22:00-06:00),0.25
IMO9300943,Maersk Post-Panamax 0943,Maersk,Post-Panamax,9194,310.8,12.9,B-01,4,2026-02-19T21:20:54.224464+00:00,2026-02-19T22:22:42.224464+00:00,2026-02-22T04:10:42.224464+00:00,14.7,14.4,0,49.8,53.8,240,CRANE_OUTAGE,SHIFT_C (22:00-06:00),1.03
